classes,img_size,batch,data_augmentation,learning_rate,optimizer,epochs,freezed_layers,dense,flatten,train_loss,train_acc,train_GAP,val_loss,val_acc,val_GAP,model,tensorboard,dense_1,dropout
200,128,256,False,1e-05,RMSprop,35,15,200,True,0.139,0.982,0.966,1.664,0.643,0.4270000000000001,/content/drive/MyDrive/4º de Carrera/TFG/Models/VGG16_fine_tuning_0.h5,/content/drive/MyDrive/4º de Carrera/TFG/TensorBoard_Logs/VGG16_fine_tuning_0,,
200,128,256,False,1e-05,RMSprop,35,16,200,True,0.006,1.0,1.0,1.94,0.675,0.46799999999999997,/content/drive/MyDrive/4º de Carrera/TFG/Models/VGG16_fine_tuning_1.h5,/content/drive/MyDrive/4º de Carrera/TFG/TensorBoard_Logs/VGG16_fine_tuning_1,,
200,128,256,True,1e-05,RMSprop,40,16,200,True,1.273,0.68,0.469,1.743,0.589,0.358,/content/drive/MyDrive/4º de Carrera/TFG/Models/VGG16_fine_tuning_2.h5,/content/drive/MyDrive/4º de Carrera/TFG/TensorBoard_Logs/VGG16_fine_tuning_2,,
200,128,256,True,1e-05,RMSprop,45,15,200,True,1.236,0.688,0.478,1.735,0.589,0.365,/content/drive/MyDrive/4º de Carrera/TFG/Models/VGG16_fine_tuning_3.h5,/content/drive/MyDrive/4º de Carrera/TFG/TensorBoard_Logs/VGG16_fine_tuning_3,,
200,128,256,True,1e-07,RMSprop,50,16,200,True,1.148,0.7090000000000001,0.51,1.64,0.608,0.383,/content/drive/MyDrive/4º de Carrera/TFG/Models/VGG16_fine_tuning_4.h5,/content/drive/MyDrive/4º de Carrera/TFG/TensorBoard_Logs/VGG16_fine_tuning_4,,
200,128,256,False,1e-05,RMSprop,50,16,200,True,0.703,0.862,0.7440000000000001,1.5730000000000002,0.632,0.415,/content/drive/MyDrive/4º de Carrera/TFG/Models/VGG16_fine_tuning_5.h5,/content/drive/MyDrive/4º de Carrera/TFG/TensorBoard_Logs/VGG16_fine_tuning_5,512.0,0.5
200,128,256,False,0.0001,RMSprop,50,16,200,True,0.01,0.999,0.999,1.384,0.7120000000000001,0.521,/content/drive/MyDrive/4º de Carrera/TFG/Models/VGG16_fine_tuning_6.h5,/content/drive/MyDrive/4º de Carrera/TFG/TensorBoard_Logs/VGG16_fine_tuning_6,512.0,0.5
200,128,256,False,0.0001,RMSprop,50,16,200,True,0.001,1.0,1.0,1.883,0.715,0.522,/content/drive/MyDrive/4º de Carrera/TFG/Models/VGG16_fine_tuning_7.h5,/content/drive/MyDrive/4º de Carrera/TFG/TensorBoard_Logs/VGG16_fine_tuning_7,,
20,128,512,False,0.0001,RMSprop,50,15,20,True,0.001,1.0,1.0,0.5579999999999999,0.877,0.769,/content/drive/MyDrive/4º de Carrera/TFG/Models/VGG16_fine_tuning_8.h5,/content/drive/MyDrive/4º de Carrera/TFG/TensorBoard_Logs/VGG16_fine_tuning_8,,
20,128,512,False,1e-06,RMSprop,50,15,20,True,0.001,1.0,1.0,0.58,0.88,0.774,/content/drive/MyDrive/4º de Carrera/TFG/Models/VGG16_fine_tuning_9.h5,/content/drive/MyDrive/4º de Carrera/TFG/TensorBoard_Logs/VGG16_fine_tuning_9,,
20,128,512,False,0.0001,RMSprop,50,17,20,True,0.001,1.0,1.0,0.5670000000000001,0.8809999999999999,0.777,/content/drive/MyDrive/4º de Carrera/TFG/Models/VGG16_fine_tuning_10.h5,/content/drive/MyDrive/4º de Carrera/TFG/TensorBoard_Logs/VGG16_fine_tuning_10,,
20,128,512,False,0.0001,RMSprop,50,15,20,True,0.001,1.0,1.0,0.46799999999999997,0.898,0.8109999999999999,/content/drive/MyDrive/4º de Carrera/TFG/Models/VGG16_fine_tuning_11.h5,/content/drive/MyDrive/4º de Carrera/TFG/TensorBoard_Logs/VGG16_fine_tuning_11,512.0,0.5
20,128,512,False,1e-06,RMSprop,50,15,20,True,0.0,1.0,1.0,0.523,0.904,0.8170000000000001,/content/drive/MyDrive/4º de Carrera/TFG/Models/VGG16_fine_tuning_12.h5,/content/drive/MyDrive/4º de Carrera/TFG/TensorBoard_Logs/VGG16_fine_tuning_12,512.0,0.5
20,128,512,True,1e-06,RMSprop,50,15,20,True,0.615,0.8190000000000001,0.6679999999999999,0.813,0.759,0.595,/content/drive/MyDrive/4º de Carrera/TFG/Models/VGG16_fine_tuning_13.h5,/content/drive/MyDrive/4º de Carrera/TFG/TensorBoard_Logs/VGG16_fine_tuning_13,512.0,0.5
20,128,512,True,1e-06,RMSprop,50,15,20,True,0.759,0.762,0.583,0.976,0.7020000000000001,0.4920000000000001,/content/drive/MyDrive/4º de Carrera/TFG/Models/VGG16_fine_tuning_14.h5,/content/drive/MyDrive/4º de Carrera/TFG/TensorBoard_Logs/VGG16_fine_tuning_14,,
20,128,512,True,0.001,RMSprop,50,15,20,True,0.32299999999999995,0.8959999999999999,0.8059999999999999,0.62,0.823,0.6859999999999999,/content/drive/MyDrive/4º de Carrera/TFG/Models/VGG16_fine_tuning_15.h5,/content/drive/MyDrive/4º de Carrera/TFG/TensorBoard_Logs/VGG16_fine_tuning_15,,
20,128,512,True,0.0001,RMSprop,50,17,20,True,0.199,0.937,0.879,0.549,0.852,0.729,/content/drive/MyDrive/4º de Carrera/TFG/Models/VGG16_fine_tuning_16.h5,/content/drive/MyDrive/4º de Carrera/TFG/TensorBoard_Logs/VGG16_fine_tuning_16,,
