batch,classes,data_augmentation,dense,dropout,epochs,global_average,img_size,learning_rate,model,optimizer,tensorboard,train_GAP,train_acc,train_loss,val_GAP,val_acc,val_loss,flatten,dense_1
256.0,200.0,False,200.0,0.2,20.0,1.0,128.0,0.0001,/content/drive/MyDrive/4º de Carrera/TFG/Models/Xception_feature_extraction_1.h5,Adam,/content/drive/MyDrive/4º de Carrera/TFG/TensorBoard_Logs/Xception_feature_extraction_1,0.325,0.565,1.909,0.253,0.483,2.247,,
256.0,200.0,False,200.0,,20.0,1.0,128.0,0.0001,/content/drive/MyDrive/4º de Carrera/TFG/Models/Xception_feature_extraction_0.h5,Adam,/content/drive/MyDrive/4º de Carrera/TFG/TensorBoard_Logs/Xception_feature_extraction_0,0.341,0.581,1.838,0.261,0.491,2.201,,
256.0,200.0,False,200.0,,20.0,,128.0,0.0001,/content/drive/MyDrive/4º de Carrera/TFG/Models/Xception_feature_extraction_2.h5,Adam,/content/drive/MyDrive/4º de Carrera/TFG/TensorBoard_Logs/Xception_feature_extraction_2,0.939,0.968,0.258,0.377,0.599,1.802,1.0,
256.0,200.0,False,200.0,,20.0,,128.0,0.001,/content/drive/MyDrive/4º de Carrera/TFG/Models/Xception_feature_extraction_3.h5,Adam,/content/drive/MyDrive/4º de Carrera/TFG/TensorBoard_Logs/Xception_feature_extraction_3,0.838,0.915,0.317,0.309,0.535,3.98,1.0,
256.0,200.0,False,200.0,0.2,20.0,,128.0,0.0001,/content/drive/MyDrive/4º de Carrera/TFG/Models/Xception_feature_extraction_4.h5,Adam,/content/drive/MyDrive/4º de Carrera/TFG/TensorBoard_Logs/Xception_feature_extraction_4,0.966,0.983,0.14300000000000002,0.376,0.599,1.783,1.0,512.0
256.0,200.0,True,200.0,,20.0,,128.0,0.0001,/content/drive/MyDrive/4º de Carrera/TFG/Models/Xception_feature_extraction_5.h5,Adam,/content/drive/MyDrive/4º de Carrera/TFG/TensorBoard_Logs/Xception_feature_extraction_5,0.35100000000000003,0.5870000000000001,1.672,0.278,0.509,2.1109999999999998,1.0,
256.0,200.0,True,200.0,0.5,20.0,,128.0,0.0001,/content/drive/MyDrive/4º de Carrera/TFG/Models/Xception_feature_extraction_6.h5,Adam,/content/drive/MyDrive/4º de Carrera/TFG/TensorBoard_Logs/Xception_feature_extraction_6,0.274,0.519,1.985,0.242,0.467,2.244,1.0,512.0
128.0,200.0,True,200.0,,20.0,,128.0,0.001,/content/drive/MyDrive/4º de Carrera/TFG/Models/Xception_feature_extraction_7.h5,Adam,/content/drive/MyDrive/4º de Carrera/TFG/TensorBoard_Logs/Xception_feature_extraction_7,0.23199999999999998,0.47,5.263,0.203,0.40700000000000003,7.084,1.0,
512.0,200.0,True,200.0,,20.0,,128.0,0.001,/content/drive/MyDrive/4º de Carrera/TFG/Models/Xception_feature_extraction_8.h5,Adam,/content/drive/MyDrive/4º de Carrera/TFG/TensorBoard_Logs/Xception_feature_extraction_8,0.263,0.51,2.562,0.201,0.435,3.414,1.0,
256.0,20.0,False,20.0,,20.0,,128.0,0.001,/content/drive/MyDrive/4º de Carrera/TFG/Models/Xception_feature_extraction_10.h5,Adam,/content/drive/MyDrive/4º de Carrera/TFG/TensorBoard_Logs/Xception_feature_extraction_10,0.998,0.999,0.029,0.687,0.828,0.742,1.0,
256.0,20.0,False,20.0,,20.0,,128.0,0.001,/content/drive/MyDrive/4º de Carrera/TFG/Models/Xception_feature_extraction_11.h5,Adam,/content/drive/MyDrive/4º de Carrera/TFG/TensorBoard_Logs/Xception_feature_extraction_11,0.8320000000000001,0.912,0.349,0.638,0.7979999999999999,0.6729999999999999,0.0,
256.0,20.0,False,20.0,0.5,20.0,,128.0,0.001,/content/drive/MyDrive/4º de Carrera/TFG/Models/Xception_feature_extraction_12.h5,Adam,/content/drive/MyDrive/4º de Carrera/TFG/TensorBoard_Logs/Xception_feature_extraction_12,0.972,0.985,0.073,0.677,0.823,0.67,1.0,512.0
256.0,20.0,False,20.0,0.5,20.0,,128.0,0.0001,/content/drive/MyDrive/4º de Carrera/TFG/Models/Xception_feature_extraction_13.h5,Adam,/content/drive/MyDrive/4º de Carrera/TFG/TensorBoard_Logs/Xception_feature_extraction_13,0.993,0.997,0.024,0.696,0.835,0.691,1.0,512.0
256.0,20.0,False,20.0,0.5,25.0,,128.0,0.0001,/content/drive/MyDrive/4º de Carrera/TFG/Models/Xception_feature_extraction_14.h5,Adam,/content/drive/MyDrive/4º de Carrera/TFG/TensorBoard_Logs/Xception_feature_extraction_14,0.998,0.999,0.019,0.708,0.84,0.6890000000000001,1.0,512.0
256.0,20.0,True,20.0,0.5,25.0,,128.0,0.0001,/content/drive/MyDrive/4º de Carrera/TFG/Models/Xception_feature_extraction_15.h5,Adam,/content/drive/MyDrive/4º de Carrera/TFG/TensorBoard_Logs/Xception_feature_extraction_15,0.695,0.8320000000000001,0.5329999999999999,0.613,0.7859999999999999,0.706,1.0,512.0
256.0,20.0,True,20.0,,25.0,,128.0,0.0001,/content/drive/MyDrive/4º de Carrera/TFG/Models/Xception_feature_extraction_16.h5,Adam,/content/drive/MyDrive/4º de Carrera/TFG/TensorBoard_Logs/Xception_feature_extraction_16,0.655,0.8059999999999999,0.643,0.591,0.772,0.779,1.0,
256.0,20.0,True,20.0,,25.0,,128.0,0.001,/content/drive/MyDrive/4º de Carrera/TFG/Models/Xception_feature_extraction_17.h5,Adam,/content/drive/MyDrive/4º de Carrera/TFG/TensorBoard_Logs/Xception_feature_extraction_17,0.5820000000000001,0.763,0.8270000000000001,0.529,0.722,1.0490000000000002,1.0,
256.0,20.0,True,20.0,0.5,25.0,,128.0,0.001,/content/drive/MyDrive/4º de Carrera/TFG/Models/Xception_feature_extraction_18.h5,Adam,/content/drive/MyDrive/4º de Carrera/TFG/TensorBoard_Logs/Xception_feature_extraction_18,0.616,0.7829999999999999,0.6940000000000001,0.5529999999999999,0.7440000000000001,0.831,1.0,512.0
