classes,img_size,batch,data_augmentation,learning_rate,optimizer,epochs,freezed_layers,dense,flatten,train_loss,train_acc,train_GAP,val_loss,val_acc,val_GAP,model,tensorboard,dense_1,dropout,dropout_1
200,128,512,False,1e-05,RMSprop,40,128,200,True,0.294,0.953,0.909,1.6769999999999998,0.616,0.392,/content/drive/MyDrive/4º de Carrera/TFG/Models/Xception_fine_tuning_0.h5,/content/drive/MyDrive/4º de Carrera/TFG/TensorBoard_Logs/Xception_fine_tuning_0,,,
200,128,512,False,1e-05,RMSprop,40,126,200,True,0.077,0.991,0.982,1.969,0.634,0.411,/content/drive/MyDrive/4º de Carrera/TFG/Models/Xception_fine_tuning_1.h5,/content/drive/MyDrive/4º de Carrera/TFG/TensorBoard_Logs/Xception_fine_tuning_1,,,
200,128,512,False,1e-05,RMSprop,40,126,200,True,0.47700000000000004,0.904,0.818,1.5759999999999998,0.623,0.396,/content/drive/MyDrive/4º de Carrera/TFG/Models/Xception_fine_tuning_2.h5,/content/drive/MyDrive/4º de Carrera/TFG/TensorBoard_Logs/Xception_fine_tuning_2,512.0,0.5,
200,128,512,True,1e-05,RMSprop,40,126,200,True,1.652,0.584,0.344,1.948,0.527,0.29,/content/drive/MyDrive/4º de Carrera/TFG/Models/Xception_fine_tuning_3.h5,/content/drive/MyDrive/4º de Carrera/TFG/TensorBoard_Logs/Xception_fine_tuning_3,,,
200,128,512,True,0.0001,RMSprop,40,126,200,True,0.7340000000000001,0.7909999999999999,0.63,1.614,0.639,0.419,/content/drive/MyDrive/4º de Carrera/TFG/Models/Xception_fine_tuning_4.h5,/content/drive/MyDrive/4º de Carrera/TFG/TensorBoard_Logs/Xception_fine_tuning_4,,,
200,128,512,True,0.0001,RMSprop,40,126,200,True,0.545,0.8490000000000001,0.7240000000000001,1.3659999999999999,0.6829999999999999,0.474,/content/drive/MyDrive/4º de Carrera/TFG/Models/Xception_fine_tuning_5.h5,/content/drive/MyDrive/4º de Carrera/TFG/TensorBoard_Logs/Xception_fine_tuning_5,512.0,0.5,
20,128,256,False,1e-05,RMSprop,40,126,20,True,0.16,0.9640000000000001,0.93,0.555,0.838,0.706,/content/drive/MyDrive/4º de Carrera/TFG/Models/Xception_fine_tuning_6.h5,/content/drive/MyDrive/4º de Carrera/TFG/TensorBoard_Logs/Xception_fine_tuning_6,,,
20,128,256,False,1e-05,RMSprop,40,126,20,True,0.04,0.995,0.99,0.506,0.857,0.742,/content/drive/MyDrive/4º de Carrera/TFG/Models/Xception_fine_tuning_7.h5,/content/drive/MyDrive/4º de Carrera/TFG/TensorBoard_Logs/Xception_fine_tuning_7,512.0,0.5,
20,128,256,False,1e-05,RMSprop,40,128,20,True,0.023,0.9990000000000001,0.998,0.504,0.863,0.748,/content/drive/MyDrive/4º de Carrera/TFG/Models/Xception_fine_tuning_8.h5,/content/drive/MyDrive/4º de Carrera/TFG/TensorBoard_Logs/Xception_fine_tuning_8,512.0,0.5,
20,128,256,True,1e-05,RMSprop,40,128,20,True,0.424,0.866,0.753,0.599,0.818,0.659,/content/drive/MyDrive/4º de Carrera/TFG/Models/Xception_fine_tuning_9.h5,/content/drive/MyDrive/4º de Carrera/TFG/TensorBoard_Logs/Xception_fine_tuning_9,512.0,0.5,
20,128,256,True,1e-05,RMSprop,40,128,20,True,0.529,0.8340000000000001,0.698,0.6809999999999999,0.7879999999999999,0.616,/content/drive/MyDrive/4º de Carrera/TFG/Models/Xception_fine_tuning_10.h5,/content/drive/MyDrive/4º de Carrera/TFG/TensorBoard_Logs/Xception_fine_tuning_10,,,
